Date,Ticker,Action,Quantity,Price,Shares_Balance,Cash_Balance
2026-06-13,CNQ.TO,INIT,102.1602,63.39,102.1602,0
2026-06-15 09:43:51,CNQ.TO,SELL,102.1602,61.0,0.0,6231.77
2026-06-15 10:01:16,ABX.TO,BUY,104.2799,59.76,104.2799,0.01
2026-06-16 09:38:10,ABX.TO,SELL,99.3142,59.77,4.9657,5936.02
2026-06-16 09:38:54,ABX.TO,SELL,4.9657,59.77,0.0,6232.82
2026-06-16 09:41:35,CNQ.TO,BUY,102.2764,60.94,102.2764,0.1
